castaway_id,full_name,occupation,personality_type,gender,date_of_birth,date_of_death
US0001,Sonja Christopher,Musician,ENFP,Female,1937-01-28,2024-04-26
US0002,B.B. Andersen,Real Estate Developer,ESTJ,Male,1936-01-18,2013-10-29
US0003,Stacey Stillman,Attorney,ENTJ,Female,1972-08-11,NA
US0004,Ramona Gray,Biochemist/Chemist,ISTJ,Female,1971-01-20,NA
US0005,Dirk Been,Dairy Farmer,ISFP,Male,1976-06-15,NA
US0006,Joel Klug,Health Club Consultant,ESTJ,Male,1972-04-13,NA
US0007,Gretchen Cordy,Teacher,ESFJ,Female,1962-02-07,NA
US0008,Greg Buis,Ivy League Graduate,INTP,Male,1975-12-31,NA
US0009,Jenna Lewis,Student,ENFP,Female,1977-07-16,NA
US0010,Gervase Peterson,YMCA Basketball Coach;Cigar Lounge Owner,ESTP,Male,1969-11-02,NA
US0011,Colleen Haskell,Student,INFP,Female,1976-12-06,NA
US0012,Sean Kenniff,Doctor,INTP,Male,1969-11-27,NA
US0013,Susan Hawk,Truck Driver,ESTP,Female,1961-08-17,NA
US0014,Rudy Boesch,Retired Navy SEAL,ISTJ,Male,1928-01-20,2019-11-01
US0015,Kelly Wiglesworth,River Guide,ISFP,Female,1977-06-24,NA
US0016,Richard Hatch,Corporate Trainer,ENTP,Male,1961-04-08,NA
US0017,Debb Eaton,Corrections Officer,ISFP,Female,1955-06-11,NA
US0018,Kel Gleason,Army Intelligence Officer,ISTJ,Male,1968-01-05,NA
US0019,Maralyn Hershey,Retired Police Officer,ESTP,Female,1949-01-24,NA
US0020,Mitchell Olson,Singer/Songwriter,ENFP,Male,1977-03-17,NA
US0021,Kimmi Kappenberg,Bartender,ENFP,Female,1972-11-11,NA
US0022,Michael Skupin,Software Publisher;Part-Time Professional Speaker,ESFJ,Male,1962-01-29,NA
US0023,Jeff Varner,Internet Projects Manager,ENFP,Male,1966-04-16,NA
US0024,Alicia Calaway,Personal Trainer,ESTJ,Female,1968-05-01,NA
US0025,Jerri Manthey,Aspiring Actress,ESFP,Female,1970-09-05,NA
US0026,Nick Brown,Harvard Law Student,ISTJ,Male,1977-04-02,NA
US0027,Amber Mariano,Administrative Assistant;Director of Marketing and Communications,ISFP,Female,1978-08-11,NA
